restaurant,tag,url,review
용문칼국수,"칼국수,만두","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35438677?c=14153042.7732413,4515923.5830917,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.47리뷰 721TV생방송투데이
강동반상,한식,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36995028?c=14153042.7732413,4515923.5830917,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 999+한정식 한상차림이 좋은 진진반상 강동점
송하정스시,"초밥,롤","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1400532181?c=14153042.7732413,4515923.5830917,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.79리뷰 999+
더화이트,프랑스음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1300745536?c=14153042.7732413,4515923.5830917,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 104서울 강동구 상일동
읍천리382 상일동역점,카페,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1235155253?c=14153042.7732413,4515923.5830917,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 43서울 강동구 상일동
두리앙과자점,베이커리,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13148139?c=14153042.7732413,4515923.5830917,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.49리뷰 370
심플잇,양식,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1786471065?c=14153042.7732413,4515923.5830917,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 239서울 강동구 상일동
유은자진참숯과닭발 본점,닭발,"https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/12054053?c=14152911.7056728,4515885.9399000,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.35리뷰 593
제이든 커피,"카페,디저트","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1902491987?c=14152911.7056728,4515885.9399000,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.64리뷰 265
나주곰탕노안집 서울직영점,"곰탕,설렁탕","https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9D%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1993870946?c=14152911.7056728,4515885.9399000,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.61리뷰 355
