restaurant,tag,url,review
할머니칼국수,"칼국수,만두","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/38419421?c=14123232.2596350,4509668.7098280,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.45리뷰 484TV생활의달인
Oomph,와인,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1099630312?c=14123232.2596350,4509668.7098280,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 335서울 동작구 상도동
달리181 상도점,양식,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1051760377?c=14123232.2596350,4509668.7098280,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.54리뷰 829
다래식당,한식,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13575119?c=14124828.6256607,4508758.1890154,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.42리뷰 999+TV맛있는녀석들
상도실내포장마차,포장마차,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/34284481?c=14124828.6256607,4508758.1890154,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.63리뷰 678TV수요미식회
사리원,만두,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/12041152?c=14124828.6256607,4508758.1890154,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.2리뷰 999+TV놀라운토요일
은희네 온집닭떡볶이 상도본점,종합분식,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1586077043?c=14124377.1583339,4509287.5976366,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.47리뷰 843TV백종원의골목식당
신짱스시,"초밥,롤","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36803093?c=14124377.1583339,4509287.5976366,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.52리뷰 999+
스톤504 스테이크하우스,"스테이크,립","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36778913?c=14124377.1583339,4509287.5976366,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.41리뷰 993TV식객남녀잘먹었습니다 시즌3
비단콤마,양식,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1137521959?c=14124377.1583339,4509287.5976366,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.33리뷰 632
멜로드,"카페,디저트","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1691140664?c=14125410.9156532,4508281.4494853,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.7리뷰 153
고추동제면소,종합분식,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%83%81%EB%8F%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/38015152?c=14125410.9156532,4508281.4494853,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.7리뷰 243
