restaurant,tag,url,review
등나무집,"곰탕,설렁탕","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/19866550?c=14119853.6462977,4507372.0873766,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.42리뷰 999+TV식신로드3
서일순대국,"순대,순댓국","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/12026971?c=14119853.6462977,4507372.0873766,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.34리뷰 999+TV수요미식회
스프레드,"스파게티,파스타전문","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1286906054?c=14119853.6462977,4507372.0873766,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.76리뷰 355
시간을 들이다 본점,베이커리,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/633094958?c=14121312.7553913,4508676.4298300,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.65리뷰 999+TV생방송오늘저녁
쿠우쿠우 보라매공원점,"일식,초밥뷔페","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1085538434?c=14121312.7553913,4508676.4298300,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 243서울 동작구 신대방동
화락바베큐치킨 동작신대방점,"치킨,닭강정","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1902615433?c=14120096.0778847,4507288.3047737,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 130서울 동작구 신대방동
상남스시,"초밥,롤","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37691264?c=14121661.2299253,4507814.4122608,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 837역대급 가성비를 자랑하는 초밥집
오다,일식당,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1774362637?c=14121661.2299253,4507814.4122608,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",5리뷰 218
시미루,이자카야,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1274710898?c=14121636.3611511,4508781.5929978,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 23서울 동작구 신대방동
모스키친,돈가스,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1519242415?c=14121636.3611511,4508781.5929978,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.53리뷰 999+
더머커피,"카페,디저트","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1161891022?c=14122124.3190070,4508721.6659986,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 452서울 동작구 신대방동
가네끼스시,일식당,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/21423777?c=14122062.3585784,4508678.0153375,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.6리뷰 772
미분당 신대방삼거리점,베트남음식,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1027478980?c=14122062.3585784,4508678.0153375,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.67리뷰 999+
킨로우라멘 본점,일본식라면,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1327955673?c=14122059.9095496,4508690.9800279,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 579서울 동작구 신대방동
리루,중식당,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1371549677?c=14122059.9095496,4508690.9800279,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 209서울 동작구 신대방동
진1926 보라매점,"육류,고기요리","https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1058457814?c=14121913.9251694,4508723.7005082,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.79리뷰 486
차이30,중식당,"https://map.naver.com/v5/search/%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1006021043?c=14121975.9078619,4508908.8565751,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.52리뷰 901
