restaurant,tag,url,review
텍사스데브라질 압구정점,"스테이크,립","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1675303081?c=14133326.4104975,4512584.9998033,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.34리뷰 999+TV생방송투데이
미뉴트 빠삐용,"카페,디저트","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1867823297?c=14133326.4104975,4512584.9998033,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 267서울 강남구 신사동
까폼,태국음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/38969614?c=14133326.4104975,4512584.9998033,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.51리뷰 999+TV맛있는녀석들
노티드 청담,카페,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/895457986?c=14134345.7630747,4512642.1977844,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.44리뷰 999+TV전지적참견시점
뱃고동,낙지요리,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11700226?c=14134345.7630747,4512642.1977844,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.28리뷰 999+TV식객허영만의백반기행
자매의 부엌,이탈리아음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35751409?c=14134345.7630747,4512642.1977844,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.47리뷰 705TVMBC파워매거진
골뱅이신사,"해물,생선요리","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1744213648?c=14134345.7630747,4512642.1977844,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.73리뷰 999+TV생방송투데이
루위,중식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/65729586?c=14134342.8798999,4512800.1921624,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.65리뷰 999+TV생방송투데이
이끼롤까스 가로수길점,돈가스,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/21418931?c=14134342.8798999,4512800.1921624,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.52리뷰 999+TV생방송투데이
꽁티드툴레아,브런치,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1432373629?c=14132541.5969554,4511657.6360376,12,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 999+TV줄서는식당
