restaurant,tag,url
플랫나인,바(BAR),"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1793702349?c=14125626.2075484,4507267.6257815,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
스마일포차,한식,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11559426?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EC%2584%259C%25EC%25B4%2588%25EA%25B5%25AC%25EC%259D%258C%25EC%258B%259D%25EC%25A0%2590"
바다수퍼해물천하조개구이 강남역점,조개요리,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1485945337?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EC%2584%259C%25EC%25B4%2588%25EA%25B5%25AC%25EC%259D%258C%25EC%258B%259D%25EC%25A0%2590"
공리 중국집,중식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1565225460?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
영동설렁탕,"곰탕,설렁탕","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11678754?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
낙원타코 강남역점,"멕시코,남미음식","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1094851432?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
오우아,"카페,디저트","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1856863622?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
딤딤섬 센트럴시티점,중식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1280841149?c=14123245.8851406,4509514.0742704,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
노티드 강남 카카오,카페,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1490841787?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
고에몬 강남점,"스파게티,파스타전문","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/31413936?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
서관면옥 교대본점,냉면,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1438690191?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
남부,"육류,고기요리","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1979024190?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
미나미,일식당,"https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37891352?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
밴건디 스테이크하우스,"스테이크,립","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1600016778?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
스마일맥주 강남역점,"맥주,호프","https://map.naver.com/v5/search/%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1911536432?c=14120744.3914672,4506147.8365108,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
