restaurant,tag,url,review
을지깐깐 현대백화점 무역센터점,베트남음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1275627500?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 292서울 강남구 삼성동
샤이바나 코엑스점,브런치,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36154610?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 999+코엑스 혼밥 이 걱정이라면 맛있는 파스타
도명골 청국장,"찌개,전골","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1398214763?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.61리뷰 903
트라가 삼성점,스페인음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1326727196?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 307서울 강남구 삼성동
딤딤섬 파르나스몰점,중식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1612703330?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.32리뷰 999+
허머스키친,아시아음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/38500970?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.46리뷰 999+TV생방송투데이
팀호완 삼성점,"딤섬,중식만두","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1209180080?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.38리뷰 999+미쉐린 서울 2023
글로브 비스트로,양식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/334278981?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 999+이탈리안레스토랑라자냐리조또신선한tv방영
봉화전2 삼성점,이북음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/20622519?c=14142376.4847239,4510242.7897455,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.24리뷰 437TV2TV생생정보
이츠로바,일식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%82%BC%EC%84%B1%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1383540166?c=14142038.9083680,4510631.3604920,14,0,0,0,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 219서울 강남구 삼성동
