restaurant,tag,url,review
새돌집,"육류,고기요리","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1657029013?c=14137870.3051324,4511926.9858213,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.51리뷰 999+
청기와타운 신사역점,"육류,고기요리","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1299449726?c=14137870.3051324,4511926.9858213,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 298서울 강남구 논현동
진미평양냉면,냉면,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37912785?c=14137870.3051324,4511926.9858213,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.31리뷰 999+미쉐린 서울 2023
숨스,요리주점,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1328337783?c=14137870.3051324,4511926.9858213,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 300서울 강남구 논현동
달맞이 본점,생선회,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1231109089?c=14137870.3051324,4511926.9858213,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 894서울 강남구 논현동
해목 논현점,일식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1926429712?c=14136682.6374851,4511564.2473439,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.5리뷰 999+TV생방송오늘저녁
레자미오네뜨,베이커리,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1643374390?c=14136682.6374851,4511564.2473439,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 76서울 강남구 논현동
논현손칼국수,"칼국수,만두","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/33238438?c=14136682.6374851,4511564.2473439,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.42리뷰 999+
대가방 본점,중식당,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11839623?c=14136396.0454561,4510727.5335911,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.29리뷰 999+TV전지적참견시점
빽돈 신논현직영점,돼지고기구이,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1102942936?c=14136396.0454561,4510727.5335911,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.69리뷰 999+
영동그집,"육류,고기요리","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1005495070?c=14136396.0454561,4510727.5335911,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.72리뷰 999+TV생방송투데이
카메스시,"초밥,롤","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1271618346?c=14136396.0454561,4510727.5335911,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.79리뷰 999+
달링키친,양식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37912230?c=14136396.0454561,4510727.5335911,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.43리뷰 999+
류몽민 논현본점,닭갈비,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1562525784?c=14136565.4625891,4510079.0383459,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.74리뷰 999+TV생방송오늘저녁
