restaurant,tag,url,review
밀란국수 개포본점,국수,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18416891?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.46리뷰 999+
라피노,이탈리아음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1780901162?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.77리뷰 999+
4.2 캐쥬얼 다이닝,이탈리아음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/34015367?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 중리뷰 755화덕피자로제파스타이탈리안레스토랑
리애,돈가스,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36995601?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.57리뷰 999+
레몬그라스타이 개포점,태국음식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1276334219?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 358서울 강남구 개포동
혼,바(BAR),"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1748864985?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 종료리뷰 101서울 강남구 개포동
연스시,"초밥,롤","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1845971091?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.36리뷰 290
원조닭한마리,닭요리,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/13575033?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 999+닭칼국수닭볶음탕삼계탕
연리담,"카페,디저트","https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37559338?c=14139311.7273563,4506023.0612678,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.31리뷰 181
비스트로상수,양식,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1124192934?c=14141502.6434374,4507532.8703148,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.9리뷰 340
춘천명물닭갈비 제1호점,닭갈비,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18420156?c=14139191.8473974,4506174.2506172,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.45리뷰 578
너와 만난 바다 & 너만바,조개요리,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1964043734?c=14139191.8473974,4506174.2506172,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",영업 전리뷰 23서울 강남구 개포동
영동올뱅이집,국밥,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/33877531?c=14139124.2284084,4505569.2917741,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.35리뷰 738
Glyn.,카페,"https://map.naver.com/v5/search/%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1280317575?c=14139095.1775511,4506000.6874493,13,0,0,0,dh&placePath=%3Fentry%253Dbmp",4.67리뷰 217
