restaurant,tag,url,review
60년전통신촌황소곱창 강남역직영점,"곱창,막창,양","https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1017596309?c=14136872.5374045,4509286.2786421,13,0,0,3,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EC%2597%25AD%25EC%2582%25BC%25EB%258F%2599%25EC%259D%258C%25EC%258B%259D%25EC%25A0%2590",4.6리뷰 999+
본비 강남점,"카페,디저트","https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1810175580?c=14136872.5374045,4509286.2786421,13,0,0,3,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EC%2597%25AD%25EC%2582%25BC%25EB%258F%2599%25EC%259D%258C%25EC%258B%259D%25EC%25A0%2590",곧 영업 시작리뷰 492서울 강남구 역삼동
백소정 강남직영점,일식당,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1023823080?c=14136872.5374045,4509286.2786421,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 999+서울 강남구 역삼동
어거스트 힐 강남점,양식,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/661051254?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.56리뷰 999+TV생방송오늘저녁
떡도리탕 강남본점,닭볶음탕,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/34461836?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.47리뷰 999+
마초쉐프 강남본점,이탈리아음식,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36250128?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.71리뷰 999+TV생방송투데이
땀땀,베트남음식,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1298530125?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 999+TV줄서는식당
기무,일식당,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1176623068?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.61리뷰 209
자매수산,생선회,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37441575?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.29리뷰 681
강남진해장,한식,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/993043508?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.34리뷰 999+TV생방송투데이
신동궁감자탕 역삼본점,감자탕,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11832088?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.31리뷰 999+TVVJ특공대
구구당,퓨전음식,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1074002248?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.51리뷰 999+TV생방송투데이
어글리스토브 신논현강남역점,브런치,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35603926?c=14137178.0760109,4508943.0089382,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.33리뷰 999+
보슬보슬 역삼본점,종합분식,"https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1293718759?c=14136947.7782483,4509492.2963788,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.38리뷰 999+TV생방송오늘저녁
어퍼앤언더,"카페,디저트","https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1067283876?c=14136947.7782483,4509492.2963788,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",곧 영업 시작리뷰 999+서울 강남구 역삼동
대우부대찌개,"찌개,전골","https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/11723756?c=14136947.7782483,4509492.2963788,13,0,0,3,dh&placePath=%3Fentry%253Dbmp",4.42리뷰 999+TV수요미식회
