restaurant,tag,url,review,len,rating,count
세드라,"카페,디저트",1987286092,"['4.58', '851']",2,4.58,851.0
오미닭강정,"치킨,닭강정",31526161,"['4.61', '674']",2,4.61,674.0
남오토코 대치점,이자카야,33956686,['214'],1,,214.0
사람사는 고깃집 김일도 선릉점,"육류,고기요리",1637475096,"['4.65', '999']",2,4.65,999.0
두꺼비정육점식당,정육식당,13149894,"['4.41', '221']",2,4.41,221.0
지구당 대치은마점,덮밥,1185108827,"['4.49', '308']",2,4.49,308.0
본 카페 앤 팬케이크,"카페,디저트",1068361462,"['4.19', '131']",2,4.19,131.0
청담동마녀김밥 대치점,분식,1112774603,"['4.34', '999']",2,4.34,999.0
72420,72420,37420628,"['4.56', '325']",2,4.56,325.0
용수사,일식당,13451140,"['4.34', '227']",2,4.34,227.0
60년전통신촌황소곱창 강남역직영점,"곱창,막창,양",1017596309,"['4.6', '999']",2,4.6,999.0
본비 강남점,"카페,디저트",1810175580,['492'],1,,492.0
백소정 강남직영점,일식당,1023823080,['999'],1,,999.0
어거스트 힐 강남점,양식,661051254,"['4.56', '999']",2,4.56,999.0
떡도리탕 강남본점,닭볶음탕,34461836,"['4.47', '999']",2,4.47,999.0
마초쉐프 강남본점,이탈리아음식,36250128,"['4.71', '999']",2,4.71,999.0
땀땀,베트남음식,1298530125,['999'],1,,999.0
기무,일식당,1176623068,"['4.61', '209']",2,4.61,209.0
자매수산,생선회,37441575,"['4.29', '681']",2,4.29,681.0
강남진해장,한식,993043508,"['4.34', '999']",2,4.34,999.0
신동궁감자탕 역삼본점,감자탕,11832088,"['4.31', '999']",2,4.31,999.0
구구당,퓨전음식,1074002248,"['4.51', '999']",2,4.51,999.0
어글리스토브 신논현강남역점,브런치,35603926,"['4.33', '999']",2,4.33,999.0
보슬보슬 역삼본점,종합분식,1293718759,"['4.38', '999']",2,4.38,999.0
어퍼앤언더,"카페,디저트",1067283876,['999'],1,,999.0
대우부대찌개,"찌개,전골",11723756,"['4.42', '999']",2,4.42,999.0
